idx,sentence,label
28070,"'s as rude and profane as ever , always hilarious and , most of the time , absolutely right ",1
709,A hidden gem that grew on me like a wild flower .,1
38659,"a sexy , surprising romance ... idemoto and kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger . ",1
17625,"its premise is smart , but the execution is pretty weary ",0
713,Violet is a beautiful color and this film uses it well .,1
719,This movie is the pick of the bunch absolutely delightful .,1
628,Just noise no signal .,0
46644,hotter-two-years-ago rap and r&b names and references ,0
66642,better to do with 94 minutes ,0
617,Once connected it works like a charm .,1
28899,marvelously entertaining and deliriously joyous documentary . ,1
41075,his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1
